,exchange,tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,EPS,RSI,label
111,ALCO,NASDAQ,0.01676479,0.02215299,0.7129715947893918,0.094220495,2.334695912370155,27619,-2.67,29.600497925495503,0
112,ALCY,NASDAQ,0.035635621,0.00144586,0.000161084,0.042511685,0.008081968,33042,0.04,88.24081929397711,0
113,ALEC,NASDAQ,0.060912388,0.050176844,1.3915645190045802,0.1434470867034995,2.011826142386868,653273,-1.82,35.031769547164984,0
114,ALGN,NASDAQ,0.1218869446009359,0.035245001,1.548973325324721,0.1548658604667599,3.188136087430015,877361,4.72,37.93447806877258,0
115,ALGS,NASDAQ,-0.5210174,0.058492113,0.6951841010620895,0.092930152,0.86217011,72950,-1.81,47.30097955067346,0
116,ALGT,NASDAQ,0.020886137,0.033271571,1.4205280966700096,0.1455481669954338,3.097183662830881,246817,9.35,46.62614493,0
117,ALHC,NASDAQ,-0.164572047,0.041636337,0.8392207815200492,0.1033788826091104,1.462157506346503,596804,-0.91,69.48140817903425,0
118,ALIM,NASDAQ,0.3231129877182915,0.056000005,0.97539156,0.1132570040906967,1.2635178067991868,39806,-1.62,62.08010787415314,0
119,ALKT,NASDAQ,-0.174357681,0.032874503,0.973113614,0.1130917569656865,2.147310256222493,311761,-0.61,67.57642851890975,0
120,ALLT,NASDAQ,-0.15415017,0.033748449,0.9849010467351303,0.1139468427452133,2.1170408020621667,121460,-1.37,31.33799725061847,0
121,ALNT,NASDAQ,0.075295308,0.031436997,1.2716824673917468,0.1347505845341205,2.934459144028537,51041,1.46,32.58978370922868,0
122,ALNY,NASDAQ,0.2379511195316423,0.031081903,0.8307027158267379,0.1027609637815278,1.938779711089829,640158,-4.19,48.252465789814536,0
123,ALOR,NASDAQ,0.057700069,0.001978657,-0.003944539,0.042213855,-0.144615966,8390,0.11,92.86319508082846,0
124,ALOT,NASDAQ,0.056493407,0.030787003,0.7869718049416586,0.099588629,1.8543094325851344,6777,0.12,66.24671367903338,0
