,tick,PC1,PC2,PC3,label
79,AEHR,122139.85003950461,18.42710843209695,-0.01811819889252242,3
80,AEI,-981266.1499607528,-6.719345379926359,4.9221732932511015,0
81,AEIS,-723911.1499603622,10.505381477798586,-3.04034296591604,0
82,AEMD,-974567.1499608129,-6.870239301854387,5.915082028274039,0
83,AENT,-979292.1499609107,-19.964488090238113,1.0623354389426343,0
84,AEP,2303133.850039389,-9.704421362747953,-3.9782269365410485,1
85,AEY,-937658.149960607,4.650067434691526,0.5810934101982702,0
86,AEYE,-948968.149960662,-1.6101025882574571,1.0828382588282592,0
87,AEZS,-983496.1499606036,14.611972367435335,5.42021745070831,0
88,AFAR,-991187.1499610062,-36.139565649967096,-0.088623324645271,0
89,AFBI,-986463.1499606642,9.223706048088362,-0.4358717209831118,0
