tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,PE Ratio,EPS
CAMP,-0.633244024,0.044519372,1.401586189,0.14417408,2.283816591,563521,,-0.57
CAMT,0.520961195,0.032124593,1.329286975,0.13892934,3.001729552,315741,34.86,1.62
CAR,0.721279229,0.056973811,1.822525211,0.174709903,2.320538178,892301,3.93,50.96
CARA,-0.320192014,0.042258415,1.15252536,0.126106671,1.978462066,462479,,-2.07
CART,-1.586427142,0.045252178,0.587967257,0.085152411,0.942549359,2388532,42.71,0.63
CARV,0.442204772,0.093956378,0.666382985,0.090840857,0.514503194,74161,,-1.15
CASH,0.25705182,0.030845348,1.21668841,0.130761197,2.861410343,170891,8.12,5.99
CASI,-0.092114291,0.049408782,0.93255336,0.110149429,1.369178231,66250,,-3.01
CASS,-0.000595522,0.020624061,0.874894217,0.10596671,3.07731398,45676,17.72,2.23
CASY,0.197456344,0.018573016,0.718737056,0.094638734,2.807230329,151323,22.15,12.35
CATY,0.08030773,0.024553396,1.193249434,0.129060883,3.525413935,273164,7.39,5.04
CBAN,-0.018548611,0.023853776,0.65310261,0.08987747,1.986162222,39647,8.4,1.24
CBAY,0.558612474,0.061742926,0.858870977,0.10480435,1.009092924,3558578,,-0.89
CBFV,0.023916877,0.019852318,0.326896456,0.066213773,1.194509014,2530,7.94,2.68
CBNK,0.244736795,0.034188195,1.276376938,0.135091132,2.708277875,16277,8.31,2.52
CBOE,0.123578418,0.017652454,0.615345744,0.087138505,2.528742247,1450480,27.83,6.09
CBRL,-0.062020472,0.028085732,1.058969227,0.119319908,2.735193349,328630,15.44,4.45
CBSH,0.01524971,0.019362868,0.910642589,0.108559974,3.411683314,358699,11.8,3.97
CCBG,0.129005262,0.024989,0.961547295,0.112252711,2.791336598,20398,9.61,3.08
CCLP,0.073537457,0.050144095,0.851029311,0.104235499,1.231161897,101563,,-0.1
CCNE,0.039788354,0.025710298,1.073531045,0.120376254,3.028990721,47302,7.66,2.61
CCOI,0.129365453,0.020929871,0.755387674,0.097297449,2.618145506,317577,2.83,23.64
CCRN,0.342692245,0.037347908,1.034681724,0.11755804,2.00969865,804825,6.84,2.83
CCUR,-0.158348692,0.02283504,0.188555553,0.056178226,0.599001608,1,,-649.96
CDNA,-0.008864624,0.047679452,1.531717413,0.153614079,2.330439521,2486281,,-1.57
CDNS,0.40454831,0.022648624,1.239276676,0.132399799,3.969327114,1516167,70.89,3.52
CDTI,1.860833911,0.132848717,-0.073302126,0.037182506,-0.040026687,1419,,-1.09
CDW,0.232964274,0.020716246,1.158672272,0.126552582,4.057326897,583945,26.68,7.85
CDXS,-0.183347715,0.044137184,1.48206907,0.150012482,2.435870865,1011021,,-0.85
CDZI,-0.065122563,0.037988396,0.636853033,0.08869869,1.216126364,163514,,-0.62
CECO,0.274749051,0.032329037,1.100103201,0.122303855,2.468488451,125015,34.89,0.46
CENT,0.135304482,0.022979264,0.70338281,0.093524904,2.220475954,68049,19.67,2.28
CENTA,0.131309552,0.022514685,0.713537873,0.094261574,2.299013919,168041,17.83,2.28
CENX,0.211627279,0.047449933,1.609792871,0.159277841,2.461074946,1052608,,-1.06
CERE,0.593480179,0.062589384,0.82743582,0.102523976,0.959012096,1269003,,-2.5
CERS,-0.075859617,0.037804543,1.317249121,0.138056088,2.527635046,2545237,,-0.28
CEVA,0.05825679,0.031619557,1.390221483,0.14334966,3.189470965,183824,,-1.34
CFBK,0.079587482,0.020302128,0.195267148,0.056665099,0.697715017,2780,5.74,2.72
CFFI,0.114763573,0.025742934,0.7627712,0.097833065,2.149446702,6498,6.58,8.36
CFFN,-0.088012539,0.019361112,0.704683508,0.093619259,2.640305936,1034416,,-0.82
CFNB,0.046240185,0.010882874,0.042950984,0.045615757,0.286299072,100,9.91,1.69
CFRX,-0.86880732,0.083766053,1.077013339,0.120628867,0.932703218,152359,,-925.01
CG,0.183955822,0.025958954,1.358773567,0.14106836,3.797085145,3211224,26.23,1.12
CGEN,0.022467267,0.049104044,1.421007974,0.145582978,2.099276769,161827,,-0.38
CGNX,0.046120795,0.026412711,1.348363588,0.140313198,3.703262403,1250474,36.63,0.99
CGO,0.03891035,0.018769481,0.874572706,0.105943387,3.380135472,6800,,-0.74
CHCI,0.429640399,0.054605581,0.477064806,0.077107308,0.633768702,12421,6.92,0.61
CHCO,0.109223062,0.018802157,0.759042278,0.097562561,2.928523581,62862,12.39,7.82
CHDN,0.300006578,0.028915448,1.410701789,0.144835345,3.539123696,512972,25.14,4.72
CHEF,0.20760345,0.04639001,1.664659256,0.163257967,2.603102864,942104,45.85,0.52
CHI,0.102513625,0.017909332,0.913316216,0.108753925,3.699407854,108395,,-0.99
CHKP,0.07376459,0.01626785,0.681565144,0.091942203,3.039258566,633953,19.15,7.15
CHMG,0.104941863,0.026493115,0.943435072,0.110938812,2.583267802,9467,7.24,6.06
CHNR,0.119694762,0.061704719,0.591262723,0.085391471,0.695108444,2570,,-2.05
CHRS,-0.030211832,0.041267694,1.220264062,0.131020583,2.145033431,4124346,,-3.29
CHRW,0.038652016,0.018048559,0.635249601,0.088582374,2.553243983,1470947,24.31,3.36
CHSCM,0.054949033,0.015154212,0.363496977,0.068868853,1.740034579,49139,,
CHSCN,0.062292736,0.01587112,0.371141922,0.069423434,1.696379011,15719,,
CHSCO,0.044611226,0.010280946,0.255463642,0.061031883,1.802546442,23658,,
CHSCP,0.06033828,0.008589399,0.244220622,0.06021629,2.062576208,16339,,
CHTR,0.099204029,0.019910607,0.799685167,0.100510884,2.913566868,809003,13.72,30.63
CHUY,0.214127912,0.03542621,1.236045035,0.132165368,2.531046004,184260,23.46,1.45
CHW,0.030620492,0.017199202,0.926806082,0.109732509,3.909048223,98520,,-0.43
CHY,0.104386769,0.018232513,0.887991084,0.106916785,3.533072159,107860,,-1.02
CINF,0.123558252,0.022233798,1.030796978,0.117276232,3.363178561,640289,9.58,10.53
CIZN,-0.079162614,0.021379661,0.036806984,0.045170058,0.124887754,9535,8.53,1.16
CJJD,-0.198140272,0.073264745,0.731534333,0.095567076,0.724319392,325609,,-2.07
CLDX,0.673023867,0.056522269,0.903447881,0.108038055,1.159508552,1191107,,-2.41
CLFD,0.327823711,0.037351335,1.270275448,0.134648516,2.467074248,220671,8.04,3.22
CLIR,0.570998669,0.085314002,0.868675957,0.105515624,0.738631681,42219,,-0.15
CLMT,0.473451623,0.047233785,1.00398129,0.115330965,1.541925232,74127,,-0.55
CLNE,0.423803383,0.051655593,1.754637548,0.169785186,2.464112367,1861750,,-0.34
CLRB,-0.137372675,0.052647482,0.926766689,0.109729651,1.276977536,261916,,-3.32
CLRO,0.239668912,0.058190041,0.302559315,0.064448304,0.377183172,51539,0.8,0.84
CLWT,0.251515489,0.058857138,0.503969306,0.079059019,0.621148427,1892,29.2,0.05
CMCO,0.061434025,0.026579829,1.274341889,0.134943505,3.477957098,239249,19.19,1.77
CMCSA,0.072775256,0.017639014,0.857863687,0.104731279,3.528047588,18135242,12.03,3.59
CMCT,-0.183142676,0.038420272,0.725276448,0.095113115,1.369410287,115411,,-2.5
CME,0.084596836,0.017902764,0.755095295,0.097276239,3.05965253,2396121,24.92,8.37
CMLS,0.031442242,0.045428628,1.344928522,0.140064011,2.1476328,29648,,-1.13
CMPR,0.085005682,0.041491733,1.587102618,0.157631841,2.774813998,174343,,-5.94
CMRX,0.111717558,0.05433288,1.197524117,0.129370978,1.598865692,567009,0.52,2.04
CMTL,0.018579606,0.03623267,1.127714072,0.124306807,2.257818922,194206,,-1.21
CNET,0.14314411,0.071142369,0.67541287,0.091495904,0.688702172,11125,,-1.38
CNMD,0.178423954,0.027528497,1.278942613,0.135277251,3.370225862,548900,53.79,1.9
CNOB,0.065881182,0.027183079,1.088276042,0.121445887,2.904229049,131735,7.81,2.39
CNSL,-0.015421095,0.040304115,1.049388712,0.118624917,1.888762871,856099,,-2.04
CNTY,0.200731457,0.047031528,1.642003963,0.161614503,2.532652226,101850,,-0.15
COCO,0.593160517,0.042528659,1.083984713,0.121134585,1.848978704,1392826,45.92,0.63
COHR,0.079272183,0.034743455,1.431487598,0.146343193,2.988856293,2029855,,-2.93
COHU,0.235990753,0.035166285,1.53711739,0.154005805,3.170815591,357048,20.75,1.51
COKE,0.347740597,0.025942731,0.819675632,0.101961035,2.292011399,34583,12.85,50.8
COLB,-0.004025281,0.027313628,1.142895452,0.125408097,3.035411358,1925248,12.73,1.71
COLM,0.026198323,0.022286622,1.036887116,0.117718024,3.375030239,422907,16.98,4.57
COMM,-0.307215425,0.043007159,1.4613044,0.148506168,2.464849375,5100938,,-5.99
CONN,-0.128418147,0.050063974,1.758860082,0.170091498,2.548569118,76786,,-5.65
COOL,0.030224345,0.006829641,0.024381875,0.044268714,0.258976098,205,,-0.23
CORT,0.277381571,0.035295814,0.742182142,0.096339491,1.525378907,1550075,32.03,0.8
COST,0.213164866,0.015249962,0.725569482,0.095134373,3.451442933,1819077,39.56,14.18
CPHC,0.182172764,0.028780507,0.298505658,0.064154243,0.752392684,4467,8.04,2.45
CPIX,0.077864029,0.052993562,0.194312029,0.056595813,0.265991047,9617,,-0.12
CPLP,0.070806693,0.02777271,0.77178111,0.098486664,2.015887701,2304,2.82,4.78
CPRT,0.30391724,0.019358203,1.04358358,0.1182038,3.910683183,3249090,35.88,1.28
CPRX,0.506445405,0.042104148,1.275349108,0.135016571,2.197326726,1631574,12.9,1.02
CPSI,-0.03743905,0.026134009,0.831347354,0.102807727,2.307634024,130644,41.26,0.34
CPSS,0.4555387,0.048582414,0.631791794,0.088331537,0.943377116,43528,3.72,2.66
CRAI,0.227511908,0.027615629,0.865767667,0.105304651,2.274242994,83156,15.94,5.38
CREG,-0.041362552,0.06116819,0.78836001,0.099689333,0.934952184,5751,,-0.56
CRESY,0.09090389,0.039405176,0.981627625,0.113709382,1.807107291,103957,4.08,1.83
CRIS,3.766386938,0.475631002,0.484664531,0.077658609,0.073919927,18740,,-10
