tick,exchange,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI
AGNCP,NASDAQ,0.051091087,0.025904453,0.7053873044166666,0.093670314,1.97534816123508,65.88834088678048
AGRI,NASDAQ,-1.131264204,0.095178141,0.1856124265488664,0.055964725,0.1414686701621042,52.20830585700838
AGRX,NASDAQ,-0.582949854,0.092469614,0.9278232206948588,0.1098062943369683,0.7278747180258133,63.038428107284005
AGYS,NASDAQ,0.4770483279340207,0.0324096784014195,1.013097285,0.1159922585586854,2.267602215869761,73.03255825426388
AHCO,NASDAQ,0.099415501,0.034520645,0.6481738690859389,0.089519928,1.3620814020806438,47.040041420138905
AHG,NASDAQ,0.6851070058604669,0.1265829086012438,0.8501102337208736,0.104168826920321,0.4871813075064312,31.971626864412517
AHI,NASDAQ,2.079571357677436,0.2915042957534784,0.5245409089007267,0.080551327,0.1305343612242644,28.93537568247657
AIB,NASDAQ,0.087570496,0.006002016,0.009457481,0.043186066,0.114305932343894,88.91731989153591
AIH,NASDAQ,-0.29998265,0.055301512,0.535762058,0.081365333,0.7027897056488754,74.67438061120122
AIHS,NASDAQ,-0.214888791,0.08637303,0.6354073837493301,0.08859382,0.5336598664839066,47.71070105057412
AIMBU,NASDAQ,0.076604392,0.003737359,-0.00587421,0.042073872,-0.114018438,64.32498340420226
AIMD,NASDAQ,3.215725327407194,0.189664632364322,0.3860149316860083,0.070502354,0.1476414132261241,67.69971021
AIP,NASDAQ,-0.196954552,0.051201201,1.2960790555743886,0.1365203655747469,1.8362922012480665,73.79485619218276
AIRG,NASDAQ,-0.122229295,0.0374304250917428,0.9761927217537848,0.113315122099186,1.8919133813098965,52.52172140539345
AIRS,NASDAQ,-0.138265965,0.052484837,1.56364429375866,0.1559301241083656,2.1611979789548204,45.03206942
AIRT,NASDAQ,0.5578236461012555,0.094322451,0.6954094312466635,0.092946498,0.534830224,58.69000075548958
AIRTP,NASDAQ,0.0183866068594793,0.0191223864039974,0.2024208698446422,0.057184046,0.7678981831471078,59.57713946782323
AIXI,NASDAQ,-1.123235676,0.073782073,0.5829158051729049,0.084785968,0.5731198096190084,58.32913626245353
AKAM,NASDAQ,0.1267809365934471,0.0181751582262294,0.7248449729510696,0.095081815,2.893059554826695,37.77810915560775
AKAN,NASDAQ,-2.00880177,0.094978787,1.038422911,0.1178294340018018,0.7931185076301411,49.04956056093037
AKBA,NASDAQ,0.154419293395279,0.062755098,1.5351121518759063,0.1538603410971294,1.7745226246742034,33.243068751977674
AKLI,NASDAQ,-0.909021849,0.060256175,0.3577802952534289,0.068454153,0.4307301812765443,37.48558840751998
AKRO,NASDAQ,0.3937347146614984,0.064766777,0.8768339634240611,0.1061074238179469,0.9820995705029272,54.75575698187882
AKTS,NASDAQ,-0.129964117,0.045082335,1.4598128928622591,0.1483979707042731,2.3489903641062626,44.31053765467136
AKTX,NASDAQ,0.071409494,0.081556607,0.5722297737541746,0.08401078,0.5089812035381845,47.12791599188038
AKU,NASDAQ,-0.062644824,0.064885396,0.4954491452082097,0.078440948,0.5539142868058453,75.73440424398562
AKYA,NASDAQ,-0.50190524,0.0459656479196501,0.99470742,0.1146582182063548,1.5698292414476642,60.80589353630193
ALAR,NASDAQ,-0.702040531,0.065170209,0.3886049216307244,0.070690238,0.432563255,42.78886908648932
ALBT,NASDAQ,-0.07624479,0.075420861,0.9261513289647472,0.1096850117107346,0.8908014434321228,52.52422135705354
ALCO,NASDAQ,0.0167647902409171,0.0221529898063888,0.7129715947893918,0.094220495,2.334695912370155,29.600497925495503
ALCY,NASDAQ,0.035635621,0.00144586,0.000161084,0.0425116853969681,0.008081968,88.24081929397711
ALCYU,NASDAQ,0.0602718942801467,0.002099312,-0.00521959,0.0421213597265726,-0.180364025,98.11511972880214
ALDX,NASDAQ,0.1514924467099728,0.058657336,1.4426657370056757,0.1471540790949848,1.7841600978165335,46.18805518099142
ALEC,NASDAQ,0.0609123883974442,0.050176844,1.3915645190045802,0.1434470867034995,2.0118261423868677,35.031769547164984
ALGM,NASDAQ,0.2368245089753644,0.0296924453861258,1.0658877047538104,0.1198217893087304,2.604089636378015,34.94380198309796
ALGN,NASDAQ,0.1218869446009359,0.035245001,1.548973325324721,0.1548658604667599,3.188136087430015,37.93447806877258
ALGS,NASDAQ,-0.5210174,0.058492113,0.6951841010620895,0.092930152,0.86217011,47.30097955067346
ALGT,NASDAQ,0.020886137,0.033271571,1.4205280966700096,0.1455481669954338,3.097183662830881,46.62614493
ALHC,NASDAQ,-0.164572047,0.041636337,0.8392207815200492,0.1033788826091104,1.462157506346503,69.48140817903425
ALIM,NASDAQ,0.3231129877182915,0.056000005,0.97539156,0.1132570040906967,1.2635178067991868,62.08010787415314
ALKS,NASDAQ,0.002276698,0.0264234176680235,0.7753941781197908,0.098748763,2.1287467073916844,35.85577214956312
ALKT,NASDAQ,-0.174357681,0.032874503,0.973113614,0.1130917569656865,2.147310256222493,67.57642851890975
ALLK,NASDAQ,-0.056453264,0.060543367,0.8342585257730527,0.1030189098918588,0.9995960398487695,65.10211402300342
ALLO,NASDAQ,-0.205602793,0.043482152,1.207082874,0.1300643909115151,2.0138007503807023,50.26726585757813
