tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,PE Ratio,EPS
BRT,0.215481274,0.02769005,0.920764708,0.109294255,2.412211405,42783,34.42,0.5
BRX,0.181845032,0.026921689,1.143385694,0.12544366,3.080923368,2944830,19.41,1.12
BSAC,-0.014397787,0.023166408,0.688120153,0.092417718,2.154745727,579213,14.57,1.27
BSBR,0.006226876,0.028639213,1.050734689,0.118722557,2.661475288,488539,21.65,0.26
BSL,0.016483381,0.013457124,0.444771471,0.07476468,2.397591043,45184,11.2,1.16
BST,0.119178579,0.018649316,1.073916644,0.120404226,4.177323454,82569,9.38,3.53
BSX,0.118250113,0.01870623,0.94030458,0.110711719,3.646470726,9440519,64.06,0.82
BTA,0.011172505,0.011489256,0.282733433,0.063010092,1.785154107,79105,,-0.25
BTE,0.42337622,0.046919068,1.350396817,0.140460693,2.08786527,14491359,3.92,1.13
BTO,0.095758308,0.028814574,1.267344326,0.134435886,3.190603672,95579,,-4.8
BTT,0.026821464,0.007282269,0.186941453,0.056061136,1.862212855,225564,,-0.02
BTU,0.395589843,0.061047682,1.172635499,0.127565504,1.393427249,1546750,3.1,7.64
BTZ,0.017342331,0.010301576,0.394426507,0.071112548,2.777492395,516793,16.72,0.58
BUD,0.010298699,0.020473759,0.81788987,0.101831492,2.897928563,3228870,19.19,3.07
BUI,0.094268712,0.017457206,0.712537433,0.094189,2.960897616,54770,7.36,2.75
BURL,0.049535517,0.029820899,1.176441245,0.127841581,2.861804416,4220458,32.71,4.05
BVN,0.015194535,0.031277086,0.593761263,0.085572721,1.377133422,2681322,3.82,2.21
BWA,0.070785131,0.023756301,1.040915271,0.118010235,3.178535053,5499387,8.24,4.05
BWG,-0.004257811,0.011255828,0.434911716,0.074049432,2.802941971,63611,,-0.35
BX,0.327317247,0.025796546,1.418834937,0.145425342,3.989888514,4571018,42.22,2.39
BXC,0.530486621,0.049426677,1.537456088,0.154030375,2.256481353,94340,7.25,11.07
BXMT,0.040450067,0.025920416,1.072795438,0.120322891,3.002378134,2975259,18.72,1.16
BXMX,0.052801182,0.013312525,0.793202375,0.100040608,4.322291113,252244,6.26,1.98
BXP,-0.064897794,0.02300265,1.034269029,0.117528102,3.261715657,1956525,13.93,4.23
BYD,0.292647329,0.033799819,1.53332674,0.153730823,3.290870364,933745,8.48,6.79
BYM,-0.003831547,0.009328547,0.260126233,0.061370117,2.022835624,63778,,-0.1
BZH,0.403507427,0.038722172,1.520889067,0.152828568,2.849234986,458104,4.64,6.18
C,0.000304866,0.024669013,1.311287564,0.137623624,3.855996333,17834827,6.71,6.3
CC,0.145181057,0.037321089,1.647254276,0.161995372,3.201819031,1209113,,-2
CL,0.080999414,0.013284588,0.533373403,0.081192055,2.912552091,4362483,39.17,1.91
CP,0.168687135,0.018256508,0.953739238,0.111686298,3.789678702,1886594,23.08,3.22
CACI,0.16862964,0.018002043,0.807571886,0.101083004,3.254241914,88835,19.89,16.44
CAE,0.142230815,0.028812355,1.244926477,0.132809647,3.134407027,153704,33.75,0.64
CAF,-0.02419994,0.013640017,0.515682103,0.07990869,2.742569102,82000,,-4.05
CAG,0.016110198,0.0184151,0.40395878,0.07180404,1.59130493,3559191,12.36,2.25
CAH,0.191607833,0.019591688,0.772530622,0.098541035,2.860449491,5293061,100.21,1
CALX,0.478162249,0.037698095,1.316942778,0.138033865,2.534182811,1554140,50.84,0.7
CAPL,0.282742831,0.033185708,0.713054921,0.094226539,1.558699305,62159,15.41,1.46
CAT,0.199791551,0.020897735,0.984344242,0.113906451,3.416946967,3928213,17.81,
CATO,-0.072476252,0.029003621,0.814288965,0.101570275,2.036651706,86781,,-0.08
CB,0.162189014,0.018157962,0.840734372,0.103488682,3.358784582,2010033,12.82,17.07
CBBB,1.234992359,0.114918137,-0.320865613,0.019223718,-0.20254664,5000,,-0.231
CBD,-0.284937077,0.04410189,0.882204964,0.106497048,1.451118023,248109,,-0.84
CBL,-0.099818017,0.024278127,0.724257856,0.095039224,2.164055884,75714,,-0.98
CBT,0.15675751,0.025562747,1.27454282,0.134958081,3.61690708,509202,12.86,5.28
CBU,-0.003409622,0.020897022,0.877836742,0.106180168,3.047332185,348071,15.7,2.79
CBZ,0.219696129,0.017869799,0.862787693,0.105088477,3.502472305,202262,22.57,2.43
CCG,-10.95691379,0.132289561,0.556790157,0.082890757,0.305320817,13549,,-0.48
CCI,0.037425255,0.01833387,0.808127497,0.101123309,3.197541385,4020120,27.49,3.58
CCIA,0.204538237,0.004060086,0.047573547,0.045951088,0.850003494,29468,,
CCJ,0.371639713,0.030108184,0.939418429,0.110647436,2.263419016,5350413,95.34,0.44
CCK,0.17904629,0.021860187,1.068017469,0.119976287,3.544173156,1992479,19.6,4.25
CCL,-0.033378897,0.045743161,1.84776701,0.176540998,2.930295907,41454391,,-1.29
CCM,0.290077407,0.074485366,0.391248544,0.070882012,0.381041448,321,,-1.46
CCO,0.010048703,0.052923785,1.725634453,0.167681239,2.365311535,3210970,,-0.02
CCS,0.387150989,0.035400047,1.524078158,0.153059911,3.123157196,340665,9.05,7.72
CCU,-0.071720922,0.018868358,0.598993206,0.085952257,2.302916689,178486,16.42,0.72
CCZ,0.041178095,0.021420648,0.021816533,0.044082618,0.07388284,518,47.47,
CDE,0.120459486,0.047043818,1.152530234,0.126107025,1.777215977,6677854,,-0.2
CE,0.109383789,0.023317189,1.207774518,0.130114564,3.757509683,1116331,10.39,11.64
CEE,-0.091276656,0.024576304,0.63295528,0.088415939,1.868301195,89199,9.09,0.93
CEM,0.147382614,0.036702027,1.185929073,0.128529849,2.344008071,26121,,-3.33
CEQP,0.238979468,0.0385707,1.209575838,0.130245236,2.274919465,4181025,31.05,0.91
CF,0.210976609,0.027273094,0.985100298,0.113961297,2.620212302,2069765,7.58,10.76
CFG,0.049421733,0.028744805,1.387161943,0.143127714,3.500727007,8174466,6.48,4.04
CFR,0.087883743,0.024932297,1.13288237,0.124681727,3.296195494,532288,9.24,10.45
CGA,0.073859137,0.052399915,0.323515512,0.065968512,0.447873089,84,,-1
CHD,0.100900336,0.014804761,0.421603665,0.073084038,2.065824541,4526248,47.96,1.81
CHE,0.162556691,0.017148526,0.709258383,0.09395113,3.000323804,121093,36.34,16.16
CHGG,-0.017235413,0.039779808,0.87078552,0.105668657,1.587957799,2354833,,-0.21
CHH,0.136109146,0.020893041,0.960805445,0.112198896,3.335986195,415014,20.66,5.57
CHK,0.32937225,0.024839915,0.564465299,0.083447528,1.648456889,1554531,2.42,36.91
CHKR,0.704205412,0.04153297,0.202259932,0.057172371,0.353270454,152533,1.96,0.28
CHMI,-0.123683516,0.034560504,1.121851644,0.123881534,2.354755432,420488,,-0.71
